MICROPHONE,ORIENTATION,SOUND,ANGLE,ANSWER,PERSON
BINAURAL,AZIMUTH,ANGRY,150,84,3
BINAURAL,AZIMUTH,ANGRY,30,156,3
BINAURAL,AZIMUTH,ANGRY,-150,180,3
BINAURAL,AZIMUTH,ANGRY,180,168,3
BINAURAL,AZIMUTH,ANGRY,-30,-154,3
BINAURAL,ELEVATION,SWEET,-15,-30,3
BINAURAL,ELEVATION,SWEET,90,-20,3
BINAURAL,ELEVATION,SWEET,-45,-42,3
BINAURAL,ELEVATION,SWEET,-150,-46,3
BINAURAL,ELEVATION,SWEET,105,-55,3
BINAURAL,ELEVATION,SWEET,-135,164,3
BINAURAL,ELEVATION,SWEET,30,175,3
BINAURAL,ELEVATION,SWEET,135,146,3
AMBEO,AZIMUTH,TRUMPET,0,,3
AMBEO,AZIMUTH,TRUMPET,90,135,3
AMBEO,AZIMUTH,TRUMPET,-90,155,3
AMBEO,AZIMUTH,TRUMPET,150,126,3
AMBEO,AZIMUTH,TRUMPET,30,114,3
AMBEO,AZIMUTH,TRUMPET,-150,105,3
AMBEO,AZIMUTH,TRUMPET,180,-165,3
AMBEO,AZIMUTH,TRUMPET,-30,162,3
AMBEO,ELEVATION,DUCK,-15,180,3
AMBEO,ELEVATION,DUCK,90,-156,3
AMBEO,ELEVATION,DUCK,-45,170,3
AMBEO,ELEVATION,DUCK,-150,170,3
AMBEO,ELEVATION,DUCK,105,170,3
AMBEO,ELEVATION,DUCK,-135,156,3
AMBEO,ELEVATION,DUCK,30,163,3
AMBEO,ELEVATION,DUCK,135,180,3
AMBEO,AZIMUTH,NOISE,0,-162,3
AMBEO,AZIMUTH,NOISE,90,164,3
AMBEO,AZIMUTH,NOISE,-90,175,3
AMBEO,AZIMUTH,NOISE,150,-123,3
AMBEO,AZIMUTH,NOISE,30,120,3
AMBEO,AZIMUTH,NOISE,-150,115,3
AMBEO,AZIMUTH,NOISE,180,-140,3
AMBEO,AZIMUTH,NOISE,-30,-123,3
AMBEO,ELEVATION,NOISE,-15,175,3
AMBEO,ELEVATION,NOISE,90,175,3
AMBEO,ELEVATION,NOISE,-45,175,3
AMBEO,ELEVATION,NOISE,-150,145,3
AMBEO,ELEVATION,NOISE,105,175,3
AMBEO,ELEVATION,NOISE,-135,165,3
AMBEO,ELEVATION,NOISE,30,130,3
AMBEO,ELEVATION,NOISE,135,140,3
AMBEO,AZIMUTH,ANGRY,0,142,3
AMBEO,AZIMUTH,ANGRY,90,130,3
AMBEO,AZIMUTH,ANGRY,-90,136,3
AMBEO,AZIMUTH,ANGRY,150,-125,3
AMBEO,AZIMUTH,ANGRY,30,132,3
AMBEO,AZIMUTH,ANGRY,-150,94,3
AMBEO,AZIMUTH,ANGRY,180,180,3
AMBEO,AZIMUTH,ANGRY,-30,-110,3
AMBEO,ELEVATION,SWEET,-15,90,3
AMBEO,ELEVATION,SWEET,90,100,3
AMBEO,ELEVATION,SWEET,-45,80,3
AMBEO,ELEVATION,SWEET,-150,95,3
AMBEO,ELEVATION,SWEET,105,122,3
AMBEO,ELEVATION,SWEET,-135,115,3
AMBEO,ELEVATION,SWEET,30,140,3
AMBEO,ELEVATION,SWEET,135,170,3
ZYLIA,AZIMUTH,TRUMPET,0,-140,3
ZYLIA,AZIMUTH,TRUMPET,90,-178,3
ZYLIA,AZIMUTH,TRUMPET,-90,-150,3
ZYLIA,AZIMUTH,TRUMPET,150,-100,3
ZYLIA,AZIMUTH,TRUMPET,30,115,3
ZYLIA,AZIMUTH,TRUMPET,-150,95,3
ZYLIA,AZIMUTH,TRUMPET,180,-150,3
ZYLIA,AZIMUTH,TRUMPET,-30,-115,3
ZYLIA,ELEVATION,DUCK,-15,-155,3
ZYLIA,ELEVATION,DUCK,90,-140,3
ZYLIA,ELEVATION,DUCK,-45,-170,3
ZYLIA,ELEVATION,DUCK,-150,-178,3
ZYLIA,ELEVATION,DUCK,105,175,3
ZYLIA,ELEVATION,DUCK,-135,166,3
ZYLIA,ELEVATION,DUCK,30,160,3
ZYLIA,ELEVATION,DUCK,135,180,3
ZYLIA,AZIMUTH,NOISE,0,-150,3
ZYLIA,AZIMUTH,NOISE,90,172,3
ZYLIA,AZIMUTH,NOISE,-90,-162,3
ZYLIA,AZIMUTH,NOISE,150,-118,3
ZYLIA,AZIMUTH,NOISE,30,120,3
ZYLIA,AZIMUTH,NOISE,-150,102,3
